CodigoVariable;Fecha;CodigoDuracion;UnidadMedida;CodigoPlanta;Configuracion;Valor
POF_Declarado;24/07/2025;PT1D;COP/kWh;3HF5;0;94.02
POF_Declarado;24/07/2025;PT1D;COP/kWh;TBST;6;886.8
POF_Declarado;24/07/2025;PT1D;COP/kWh;SNCR;0;96.47
POF_Declarado;24/07/2025;PT1D;COP/kWh;TBQ4;0;1265.66
POF_Declarado;24/07/2025;PT1D;COP/kWh;GVIO;0;96.47
POF_Declarado;24/07/2025;PT1D;COP/kWh;TSR1;3;1002.01
POF_Declarado;24/07/2025;PT1D;COP/kWh;TSR1;4;968.24
POF_Declarado;24/07/2025;PT1D;COP/kWh;PPA2;0;259.72
POF_Declarado;24/07/2025;PT1D;COP/kWh;GTRG;0;96.47
POF_Declarado;24/07/2025;PT1D;COP/kWh;HMLG;0;96.47
POF_Declarado;24/07/2025;PT1D;COP/kWh;TCDT;1;1228.83
POF_Declarado;24/07/2025;PT1D;COP/kWh;TRM1;5;2595.98
POF_Declarado;24/07/2025;PT1D;COP/kWh;TFL4;3;1017.28
POF_Declarado;24/07/2025;PT1D;COP/kWh;QUI1;0;98
POF_Declarado;24/07/2025;PT1D;COP/kWh;PRC2;0;96.47
POF_Declarado;14/07/2025;PT1D;COP/kWh;CLMG;0;450
POF_Declarado;14/07/2025;PT1D;COP/kWh;EPFV;0;94.02
POF_Declarado;14/07/2025;PT1D;COP/kWh;HMIN;0;89
POF_Declarado;14/07/2025;PT1D;COP/kWh;PRG1;0;886.66
POF_Declarado;14/07/2025;PT1D;COP/kWh;TRM1;1;1934.43
POF_Declarado;14/07/2025;PT1D;COP/kWh;ESMR;0;103.11
POF_Declarado;14/07/2025;PT1D;COP/kWh;MOY1;0;104.41
POF_Declarado;14/07/2025;PT1D;COP/kWh;ZPA4;0;362
POF_Declarado;14/07/2025;PT1D;COP/kWh;TRM1;4;1958.64
POF_Declarado;14/07/2025;PT1D;COP/kWh;TSR1;5;1176.49
POF_Declarado;14/07/2025;PT1D;COP/kWh;MATA;0;87
POF_Declarado;14/07/2025;PT1D;COP/kWh;TCBE;0;890
POF_Declarado;14/07/2025;PT1D;COP/kWh;TFL4;3;1017.28
POF_Declarado;14/07/2025;PT1D;COP/kWh;TBST;4;839.6
POF_Declarado;14/07/2025;PT1D;COP/kWh;TFL4;2;916.74
POF_Declarado;14/07/2025;PT1D;COP/kWh;CUC1;0;103.5
POF_Declarado;14/07/2025;PT1D;COP/kWh;TYP4;0;865.2
POF_Declarado;14/07/2025;PT1D;COP/kWh;GYPO;0;94.02
POF_Declarado;14/07/2025;PT1D;COP/kWh;SNCR;0;96.47
POF_Declarado;14/07/2025;PT1D;COP/kWh;TCDT;3;754.78
POF_Declarado;14/07/2025;PT1D;COP/kWh;PRC3;0;96.47
POF_Declarado;14/07/2025;PT1D;COP/kWh;CTG1;0;1734.44
POF_Declarado;14/07/2025;PT1D;COP/kWh;TBQ4;0;1265.66
POF_Declarado;14/07/2025;PT1D;COP/kWh;TBST;10;753.77
POF_Declarado;14/07/2025;PT1D;COP/kWh;TBST;8;1647.41
POF_Declarado;14/07/2025;PT1D;COP/kWh;URA1;0;99
POF_Declarado;14/07/2025;PT1D;COP/kWh;TBST;9;902.05
POF_Declarado;14/07/2025;PT1D;COP/kWh;HMLG;0;96.47
POF_Declarado;14/07/2025;PT1D;COP/kWh;PPA4;0;292.12
POF_Declarado;14/07/2025;PT1D;COP/kWh;TVL1;4;1300
POF_Declarado;14/07/2025;PT1D;COP/kWh;TYP5;0;94.5
POF_Declarado;14/07/2025;PT1D;COP/kWh;PGUG;0;96.47
POF_Declarado;14/07/2025;PT1D;COP/kWh;CHBG;0;103.47
POF_Declarado;14/07/2025;PT1D;COP/kWh;CTG3;0;1463.35
POF_Declarado;14/07/2025;PT1D;COP/kWh;TFL4;1;973.35
POF_Declarado;14/07/2025;PT1D;COP/kWh;CHVR;0;96.47
POF_Declarado;14/07/2025;PT1D;COP/kWh;GTPE;0;96.47
POF_Declarado;14/07/2025;PT1D;COP/kWh;3INX;0;88
POF_Declarado;14/07/2025;PT1D;COP/kWh;ALBG;0;105
