FechaHora,precio,demanda
2025-07-02 23:00:00,102.21,9156630
2025-07-02 00:00:00,96.47,8658850
2025-07-02 01:00:00,96.47,8379760
2025-07-02 02:00:00,96.47,8163530
2025-07-02 03:00:00,96.47,8051770
2025-07-02 04:00:00,96.47,8128600
2025-07-02 05:00:00,96.47,8415980
2025-07-02 06:00:00,96.47,8666390
2025-07-02 07:00:00,96.47,9101920
2025-07-02 08:00:00,96.47,9475190
2025-07-02 09:00:00,96.47,9756120
2025-07-02 10:00:00,96.47,10038050
2025-07-02 11:00:00,97.6,10341640
2025-07-02 12:00:00,97.6,10303380
2025-07-02 13:00:00,97.6,10423240
